Date,Produit,Région,Ventes,Prix unitaire,Stock disponible
2023-01-01,Produit_6,Région_5,33,8.73,276
2023-01-01,Produit_6,Région_6,4,426.15,445
2023-01-01,Produit_30,Région_8,55,421.95,898
2023-01-01,Produit_31,Région_8,36,498.64,5
2023-01-01,Produit_2,Région_4,92,459.11,846
2023-01-01,Produit_6,Région_6,94,89.59,946
2023-01-01,Produit_2,Région_8,26,143.59,299
2023-01-01,Produit_5,Région_6,26,165.22,786
2023-01-01,Produit_20,Région_1,20,124.99,558
2023-01-01,Produit_1,Région_10,14,147.87,804
2023-01-01,Produit_11,Région_4,77,268.63,672
2023-01-01,Produit_6,Région_2,10,276.56,649
2023-01-01,Produit_44,Région_2,13,343.86,595
2023-01-01,Produit_1,Région_5,73,381.31,970
2023-01-01,Produit_15,Région_8,38,208.86,605
2023-01-01,Produit_31,Région_1,69,416.16,235
2023-01-01,Produit_50,Région_5,75,469.48,587
2023-01-01,Produit_35,Région_3,1,371.85,917
2023-01-01,Produit_29,Région_8,11,398.66,269
2023-01-02,Produit_30,Région_3,85,97.27,850
2023-01-02,Produit_14,Région_10,62,182.62,748
2023-01-02,Produit_42,Région_9,18,409.22,294
2023-01-02,Produit_40,Région_3,38,272.19,574
2023-01-02,Produit_15,Région_1,25,180.9,502
2023-01-02,Produit_2,Région_5,51,273.71,197
2023-01-02,Produit_6,Région_3,7,366.62,553
2023-01-02,Produit_15,Région_1,94,447.48,419
2023-01-02,Produit_29,Région_6,57,159.3,996
2023-01-02,Produit_27,Région_7,33,21.6,597
2023-01-02,Produit_2,Région_10,5,439.0,864
2023-01-02,Produit_38,Région_4,88,303.96,14
2023-01-02,Produit_29,Région_8,5,245.75,323
2023-01-02,Produit_12,Région_2,27,322.37,754
2023-01-02,Produit_36,Région_4,26,129.64,68
2023-01-02,Produit_20,Région_10,38,117.54,22
2023-01-02,Produit_47,Région_10,46,309.4,217
2023-01-02,Produit_13,Région_8,62,54.89,992
2023-01-02,Produit_47,Région_8,60,298.52,355
2023-01-02,Produit_48,Région_4,5,461.64,839
2023-01-02,Produit_42,Région_1,92,190.35,904
2023-01-02,Produit_29,Région_8,41,463.16,406
2023-01-02,Produit_1,Région_5,21,86.93,419
2023-01-02,Produit_23,Région_9,1,435.6,566
2023-01-02,Produit_40,Région_5,47,32.11,136
2023-01-02,Produit_10,Région_4,57,7.29,936
2023-01-02,Produit_35,Région_4,25,432.44,805
2023-01-02,Produit_2,Région_7,82,243.01,346
2023-01-02,Produit_17,Région_3,54,92.31,966
2023-01-02,Produit_6,Région_5,88,159.18,284
2023-01-02,Produit_43,Région_6,26,11.48,468
2023-01-02,Produit_49,Région_7,81,480.73,688
2023-01-02,Produit_20,Région_6,86,47.25,700
2023-01-02,Produit_40,Région_1,71,299.72,140
2023-01-02,Produit_30,Région_7,51,108.9,722
2023-01-02,Produit_32,Région_1,45,191.97,143
2023-01-02,Produit_40,Région_3,18,150.55,370
2023-01-02,Produit_47,Région_2,66,269.56,112
2023-01-02,Produit_50,Région_6,51,81.84,896
2023-01-02,Produit_8,Région_7,3,189.79,457
2023-01-02,Produit_19,Région_2,97,17.57,475
2023-01-02,Produit_32,Région_2,7,331.17,832
2023-01-02,Produit_3,Région_8,87,337.59,327
2023-01-02,Produit_47,Région_5,67,444.29,603
2023-01-02,Produit_47,Région_8,34,403.63,87
2023-01-02,Produit_14,Région_8,46,415.96,451
2023-01-02,Produit_37,Région_6,85,206.16,822
2023-01-02,Produit_48,Région_2,7,318.45,672
2023-01-02,Produit_23,Région_5,19,65.77,914
2023-01-02,Produit_36,Région_2,2,455.76,708
2023-01-02,Produit_20,Région_10,2,184.71,118
2023-01-02,Produit_12,Région_4,5,175.87,255
2023-01-02,Produit_30,Région_9,98,431.23,866
2023-01-02,Produit_22,Région_8,81,434.89,631
2023-01-02,Produit_46,Région_7,96,215.48,114
2023-01-02,Produit_17,Région_9,40,350.93,280
2023-01-02,Produit_39,Région_9,22,418.29,3
2023-01-02,Produit_26,Région_10,29,89.98,726
2023-01-02,Produit_37,Région_6,18,267.18,41
2023-01-02,Produit_36,Région_9,38,38.25,676
2023-01-02,Produit_25,Région_6,76,107.18,873
2023-01-02,Produit_22,Région_5,27,450.51,645
2023-01-02,Produit_27,Région_8,98,302.26,820
2023-01-02,Produit_7,Région_10,45,419.86,980
2023-01-02,Produit_28,Région_10,46,28.25,821
2023-01-02,Produit_43,Région_1,51,49.72,370
2023-01-02,Produit_26,Région_5,11,147.9,511
2023-01-02,Produit_36,Région_1,59,152.08,226
2023-01-02,Produit_34,Région_7,24,468.73,68
2023-01-02,Produit_33,Région_10,36,272.22,466
2023-01-02,Produit_35,Région_4,81,250.7,364
2023-01-02,Produit_43,Région_2,73,386.6,500
2023-01-02,Produit_9,Région_9,40,365.45,216
2023-01-02,Produit_43,Région_8,42,232.54,802
2023-01-02,Produit_3,Région_2,44,484.01,101
2023-01-02,Produit_34,Région_3,44,404.68,816
2023-01-02,Produit_17,Région_10,57,225.77,814
2023-01-02,Produit_12,Région_8,83,367.45,660
2023-01-02,Produit_17,Région_7,80,425.35,536
2023-01-02,Produit_18,Région_9,12,114.5,921
2023-01-02,Produit_41,Région_10,47,26.86,15
2023-01-02,Produit_7,Région_1,23,280.12,85
2023-01-02,Produit_7,Région_5,7,152.19,687
2023-01-02,Produit_8,Région_2,59,472.41,593
2023-01-02,Produit_31,Région_4,39,230.3,442
2023-01-02,Produit_42,Région_7,17,326.83,151
2023-01-02,Produit_35,Région_2,3,349.66,935
2023-01-02,Produit_26,Région_7,87,37.35,526
2023-01-02,Produit_49,Région_4,93,332.52,396
2023-01-02,Produit_18,Région_1,16,216.27,107
2023-01-02,Produit_2,Région_7,99,435.7,413
2023-01-02,Produit_13,Région_2,32,466.63,890
2023-01-02,Produit_39,Région_4,29,384.76,476
2023-01-02,Produit_44,Région_9,16,437.47,238
2023-01-02,Produit_10,Région_9,84,370.1,989
2023-01-02,Produit_49,Région_3,45,180.54,669
2023-01-02,Produit_50,Région_4,18,120.64,664
2023-01-02,Produit_48,Région_1,53,493.92,584
2023-01-02,Produit_15,Région_1,88,66.6,186
2023-01-02,Produit_37,Région_5,43,296.33,806
2023-01-02,Produit_46,Région_8,11,452.34,225
2023-01-02,Produit_25,Région_7,52,37.17,583
2023-01-02,Produit_20,Région_6,74,28.24,824
2023-01-02,Produit_26,Région_9,3,413.97,516
2023-01-02,Produit_5,Région_6,47,112.08,520
2023-01-02,Produit_35,Région_4,61,133.82,418
2023-01-02,Produit_50,Région_2,62,498.19,2
2023-01-02,Produit_32,Région_3,13,115.79,88
2023-01-02,Produit_9,Région_4,14,430.76,266
2023-01-02,Produit_41,Région_8,67,140.11,540
2023-01-02,Produit_9,Région_3,25,426.84,169
2023-01-02,Produit_9,Région_8,25,277.67,954
2023-01-02,Produit_34,Région_8,79,7.52,250
2023-01-02,Produit_5,Région_10,18,45.12,315
2023-01-02,Produit_48,Région_5,77,426.35,39
2023-01-02,Produit_45,Région_3,58,287.8,39
2023-01-02,Produit_34,Région_8,91,432.92,288
2023-01-02,Produit_6,Région_8,19,434.74,91
2023-01-02,Produit_33,Région_9,13,419.32,344
2023-01-02,Produit_42,Région_4,63,351.0,699
2023-01-02,Produit_7,Région_5,45,436.56,30
2023-01-02,Produit_23,Région_10,10,410.87,436
2023-01-02,Produit_30,Région_7,31,5.55,257
2023-01-02,Produit_14,Région_7,66,147.08,45
2023-01-02,Produit_27,Région_1,17,62.34,865
2023-01-02,Produit_24,Région_3,70,145.25,454
2023-01-02,Produit_10,Région_9,96,420.86,411
2023-01-02,Produit_15,Région_5,93,395.46,915
2023-01-02,Produit_32,Région_4,68,153.98,16
2023-01-02,Produit_12,Région_6,17,293.17,704
2023-01-02,Produit_22,Région_10,82,436.41,703
2023-01-02,Produit_47,Région_4,99,299.23,459
2023-01-02,Produit_7,Région_1,6,189.06,927
2023-01-02,Produit_11,Région_10,87,225.72,429
2023-01-02,Produit_34,Région_4,81,55.59,488
2023-01-02,Produit_39,Région_7,29,348.37,883
2023-01-02,Produit_32,Région_2,47,341.85,21
2023-01-02,Produit_11,Région_3,81,481.8,439
2023-01-02,Produit_28,Région_5,47,212.77,954
2023-01-02,Produit_20,Région_6,19,140.74,386
2023-01-02,Produit_1,Région_10,38,118.83,956
2023-01-02,Produit_35,Région_1,25,358.89,785
2023-01-02,Produit_15,Région_8,60,96.84,656
2023-01-02,Produit_29,Région_5,8,386.61,685
2023-01-02,Produit_50,Région_4,71,314.98,959
2023-01-02,Produit_44,Région_5,24,460.82,898
2023-01-02,Produit_20,Région_9,94,63.07,272
2023-01-02,Produit_44,Région_4,9,104.26,955
2023-01-02,Produit_22,Région_6,2,399.79,394
2023-01-02,Produit_13,Région_1,72,234.98,989
2023-01-02,Produit_18,Région_6,32,330.21,728
2023-01-02,Produit_33,Région_6,41,24.61,213
2023-01-02,Produit_24,Région_9,17,55.88,45
2023-01-02,Produit_32,Région_6,86,109.12,672
2023-01-02,Produit_10,Région_8,32,470.91,864
2023-01-02,Produit_2,Région_1,33,441.85,925
2023-01-02,Produit_33,Région_4,26,201.48,193
2023-01-02,Produit_38,Région_7,90,346.29,142
2023-01-02,Produit_34,Région_10,44,56.76,970
2023-01-02,Produit_3,Région_6,9,468.43,358
2023-01-02,Produit_31,Région_9,76,436.13,689
2023-01-02,Produit_28,Région_4,62,308.07,382
2023-01-02,Produit_7,Région_4,80,276.06,313
2023-01-02,Produit_22,Région_10,3,25.17,699
2023-01-02,Produit_42,Région_2,12,127.32,908
2023-01-02,Produit_25,Région_3,19,488.05,355
2023-01-02,Produit_45,Région_8,93,395.9,694
2023-01-02,Produit_32,Région_3,44,279.9,913
2023-01-02,Produit_19,Région_6,37,498.19,872
2023-01-02,Produit_3,Région_10,35,114.18,949
2023-01-02,Produit_15,Région_1,7,234.0,861
2023-01-02,Produit_21,Région_10,61,423.89,804
2023-01-02,Produit_4,Région_4,60,24.85,688
2023-01-02,Produit_32,Région_9,36,19.55,865
2023-01-02,Produit_36,Région_2,79,450.85,773
2023-01-02,Produit_39,Région_10,58,456.62,267
2023-01-02,Produit_3,Région_2,40,418.82,736
2023-01-02,Produit_35,Région_10,8,205.63,477
2023-01-02,Produit_23,Région_10,44,189.56,1
2023-01-02,Produit_37,Région_5,38,248.68,317
2023-01-02,Produit_47,Région_8,89,333.0,742
2023-01-02,Produit_6,Région_1,89,484.86,65
2023-01-02,Produit_35,Région_5,5,165.97,423
2023-01-02,Produit_12,Région_8,36,485.06,302
2023-01-02,Produit_31,Région_10,67,223.8,591
2023-01-02,Produit_10,Région_10,76,415.3,256
2023-01-02,Produit_5,Région_4,8,310.49,512
2023-01-02,Produit_20,Région_9,37,181.58,203
2023-01-02,Produit_37,Région_1,44,225.95,366
2023-01-02,Produit_15,Région_6,61,21.92,333
2023-01-02,Produit_2,Région_9,37,468.62,796
2023-01-02,Produit_1,Région_7,35,228.84,756
2023-01-02,Produit_5,Région_1,51,25.58,489
2023-01-02,Produit_20,Région_5,88,344.55,125
2023-01-02,Produit_34,Région_9,50,486.68,38
2023-01-02,Produit_31,Région_8,43,246.98,427
2023-01-02,Produit_38,Région_4,23,19.84,812
2023-01-02,Produit_16,Région_2,8,485.11,128
2023-01-02,Produit_8,Région_6,5,481.86,174
2023-01-02,Produit_34,Région_1,55,489.42,426
2023-01-03,Produit_10,Région_2,82,310.83,647
2023-01-03,Produit_47,Région_8,76,60.99,344
2023-01-03,Produit_46,Région_4,33,302.3,286
2023-01-03,Produit_16,Région_5,48,327.36,601
2023-01-03,Produit_28,Région_2,64,28.86,584
2023-01-03,Produit_33,Région_9,89,436.02,584
2023-01-03,Produit_13,Région_9,75,439.87,380
2023-01-03,Produit_38,Région_4,19,404.88,593
2023-01-03,Produit_13,Région_9,23,220.61,330
2023-01-03,Produit_1,Région_8,54,326.29,724
2023-01-03,Produit_15,Région_1,76,306.87,142
2023-01-03,Produit_21,Région_3,60,276.51,416
2023-01-03,Produit_49,Région_1,35,117.5,985
2023-01-03,Produit_11,Région_3,72,335.77,841
2023-01-03,Produit_2,Région_9,3,273.47,327
2023-01-03,Produit_48,Région_2,70,457.55,220
2023-01-03,Produit_26,Région_9,12,78.75,303
2023-01-03,Produit_37,Région_4,15,200.21,342
2023-01-03,Produit_6,Région_2,43,14.03,406
2023-01-03,Produit_43,Région_7,80,325.5,123
2023-01-03,Produit_15,Région_9,36,463.88,782
2023-01-03,Produit_4,Région_5,13,179.05,801
2023-01-03,Produit_14,Région_4,52,336.7,668
2023-01-03,Produit_47,Région_3,8,159.1,419
2023-01-03,Produit_30,Région_2,2,139.95,643
2023-01-03,Produit_26,Région_9,94,94.67,350
2023-01-03,Produit_44,Région_10,39,264.96,582
2023-01-03,Produit_49,Région_10,61,132.0,35
2023-01-03,Produit_20,Région_4,7,408.8,171
2023-01-03,Produit_45,Région_10,47,475.94,886
2023-01-03,Produit_22,Région_6,21,442.68,904
2023-01-03,Produit_26,Région_9,15,307.44,377
2023-01-03,Produit_42,Région_8,24,179.94,153
2023-01-03,Produit_27,Région_5,68,141.03,530
2023-01-03,Produit_36,Région_7,74,405.72,914
2023-01-03,Produit_36,Région_10,97,214.85,580
2023-01-03,Produit_47,Région_1,99,435.28,672
2023-01-03,Produit_21,Région_1,22,16.7,654
2023-01-03,Produit_35,Région_7,32,320.79,968
2023-01-03,Produit_14,Région_9,25,493.95,802
2023-01-03,Produit_7,Région_5,18,205.14,373
2023-01-03,Produit_39,Région_9,75,495.67,699
2023-01-03,Produit_46,Région_3,68,363.55,553
2023-01-03,Produit_32,Région_7,36,47.4,352
2023-01-03,Produit_36,Région_3,73,165.07,890
2023-01-03,Produit_6,Région_9,68,223.99,827
2023-01-03,Produit_2,Région_5,44,120.69,148
2023-01-03,Produit_8,Région_6,72,327.18,811
2023-01-03,Produit_3,Région_6,70,30.91,171
2023-01-03,Produit_2,Région_6,81,497.76,470
2023-01-03,Produit_30,Région_4,8,292.34,441
2023-01-03,Produit_36,Région_5,77,319.31,302
2023-01-03,Produit_16,Région_10,62,214.23,54
2023-01-03,Produit_16,Région_1,16,334.13,979
2023-01-03,Produit_3,Région_7,92,487.21,629
2023-01-03,Produit_5,Région_4,65,421.81,148
2023-01-03,Produit_20,Région_6,22,49.12,742
2023-01-03,Produit_32,Région_1,16,255.89,499
2023-01-03,Produit_34,Région_4,97,117.54,748
2023-01-03,Produit_2,Région_9,85,176.43,760
2023-01-03,Produit_9,Région_1,75,413.52,701
2023-01-03,Produit_23,Région_10,68,437.3,261
2023-01-03,Produit_35,Région_6,43,289.42,315
2023-01-03,Produit_37,Région_4,12,465.64,41
2023-01-03,Produit_38,Région_2,45,193.41,215
2023-01-03,Produit_42,Région_6,67,396.07,947
2023-01-03,Produit_14,Région_9,15,204.48,577
2023-01-03,Produit_27,Région_2,35,176.32,787
2023-01-03,Produit_18,Région_10,25,289.71,252
2023-01-03,Produit_33,Région_4,95,246.1,109
2023-01-03,Produit_16,Région_6,52,253.77,936
2023-01-03,Produit_6,Région_9,13,186.93,391
2023-01-03,Produit_21,Région_2,68,71.91,579
2023-01-03,Produit_45,Région_4,18,142.49,446
2023-01-03,Produit_6,Région_2,60,185.58,286
2023-01-03,Produit_5,Région_3,34,232.6,641
2023-01-03,Produit_11,Région_2,31,349.04,456
2023-01-03,Produit_23,Région_3,9,75.41,328
2023-01-03,Produit_28,Région_3,7,347.62,763
2023-01-03,Produit_33,Région_4,4,498.36,784
2023-01-03,Produit_37,Région_7,52,91.01,419
2023-01-03,Produit_38,Région_7,50,69.7,627
2023-01-03,Produit_35,Région_7,27,209.99,525
2023-01-03,Produit_7,Région_5,86,482.09,182
2023-01-03,Produit_2,Région_5,79,293.16,470
2023-01-03,Produit_39,Région_5,65,165.13,985
2023-01-03,Produit_50,Région_5,53,401.76,172
2023-01-03,Produit_32,Région_4,81,59.32,699
2023-01-03,Produit_11,Région_5,52,136.68,628
2023-01-03,Produit_26,Région_4,34,165.71,763
2023-01-03,Produit_18,Région_8,99,191.06,435
2023-01-03,Produit_29,Région_6,42,393.58,396
2023-01-03,Produit_49,Région_9,64,394.52,392
2023-01-03,Produit_41,Région_1,2,221.61,28
2023-01-03,Produit_33,Région_10,58,130.26,231
2023-01-03,Produit_21,Région_7,34,196.24,725
2023-01-03,Produit_8,Région_1,79,445.25,854
2023-01-03,Produit_24,Région_3,69,370.03,448
2023-01-03,Produit_23,Région_5,8,25.63,504
2023-01-03,Produit_23,Région_1,51,40.27,663
2023-01-03,Produit_17,Région_5,20,370.07,825
2023-01-03,Produit_31,Région_4,11,485.52,210
2023-01-03,Produit_7,Région_3,28,180.65,441
2023-01-03,Produit_5,Région_5,94,416.11,519
2023-01-03,Produit_10,Région_6,96,259.76,336
2023-01-03,Produit_31,Région_8,25,488.12,462
2023-01-03,Produit_50,Région_3,49,131.43,835
2023-01-03,Produit_14,Région_9,41,480.11,118
2023-01-03,Produit_50,Région_10,21,66.99,858
2023-01-03,Produit_40,Région_2,13,293.3,350
2023-01-03,Produit_16,Région_2,11,26.65,272
2023-01-03,Produit_40,Région_2,55,52.03,487
2023-01-03,Produit_14,Région_10,89,86.02,413
2023-01-03,Produit_20,Région_5,44,102.75,685
2023-01-03,Produit_49,Région_8,21,146.52,543
2023-01-03,Produit_30,Région_7,39,424.02,232
2023-01-03,Produit_47,Région_2,21,378.75,660
2023-01-03,Produit_8,Région_8,7,94.39,735
2023-01-03,Produit_11,Région_6,22,492.41,533
2023-01-03,Produit_28,Région_2,2,70.21,462
2023-01-03,Produit_27,Région_2,95,246.76,406
2023-01-03,Produit_24,Région_6,43,380.3,352
2023-01-03,Produit_3,Région_6,19,80.03,29
2023-01-03,Produit_39,Région_9,8,233.47,655
2023-01-03,Produit_8,Région_1,5,441.32,899
2023-01-03,Produit_40,Région_3,96,440.51,865
2023-01-03,Produit_43,Région_9,10,372.46,301
2023-01-03,Produit_39,Région_2,41,190.75,392
2023-01-03,Produit_36,Région_6,90,420.78,11
2023-01-03,Produit_17,Région_9,34,380.54,19
2023-01-03,Produit_11,Région_3,95,156.27,823
2023-01-03,Produit_19,Région_5,58,187.31,380
2023-01-03,Produit_4,Région_4,10,443.67,226
2023-01-03,Produit_26,Région_5,85,5.93,870
2023-01-03,Produit_21,Région_10,38,87.61,187
2023-01-03,Produit_45,Région_4,17,296.16,515
